Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_210Hz,Q_210Hz,I_270Hz,Q_270Hz,I_330Hz,Q_330Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC210Hz[mS/m],EC270Hz[mS/m],EC330Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc210Hz[1/1000],MSusc270Hz[1/1000],MSusc330Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,8,727419.46,4335848.01,0,0,1,329.35,1744775.000,002904.7750,1.4,-4.54892e+002,1.82564e+003,-1.15266e+002,1.04259e+003,-2.63677e+001,9.69451e+002,8.12195e+002,3.41874e+003,6.94757e+003,1.07607e+004, 2.37942e+003, 1.02981e+003, 7.80963e+002, 5.61196e+001, 7.06617e+001, 6.29603e+001,-1.19490e+000,-3.02914e-001,-6.93013e-002, 2.13702e+000, 1.84290e+001
0,9,727419.56,4335848.01,0,0,1,329.36,1744875.000,002904.8750,5.1,-9.06945e+001,2.36290e+002,3.48438e+002,1.71225e+002,3.57226e+002,2.70774e+002,7.73994e+002,3.46309e+003,7.16931e+003,1.06356e+004, 2.85832e+002, 1.80085e+002, 2.30075e+002, 5.67279e+001, 7.05185e+001, 6.32151e+001,-2.38349e-001, 9.16239e-001, 9.39358e-001, 2.03640e+000, 1.90227e+001
0,10,727419.66,4335848.00,0,0,1,329.38,1744975.000,002904.9750,3.0,4.96033e+002,-2.21977e+003,9.16233e+002,-1.37789e+003,1.33893e+003,-8.61323e+002,7.62707e+002,3.45886e+003,7.50957e+003,1.08425e+004, 7.66556e+000, 1.46968e+001, 2.55781e+001, 5.66125e+001, 7.28369e+001, 6.42446e+001, 1.30460e+000, 2.41109e+000, 3.52539e+000, 2.00668e+000, 1.99346e+001
0,11,727419.78,4335848.02,0,0,1,329.40,1745075.000,002905.0750,1.8,6.08341e+002,-2.57103e+003,1.10931e+003,-1.77977e+003,1.36172e+003,-1.17405e+003,7.71861e+002,3.28834e+003,7.49820e+003,1.10898e+004, 1.01457e+001, 2.11179e+001, 2.64306e+001, 5.37507e+001, 7.43808e+001, 6.34552e+001, 1.60022e+000, 2.91992e+000, 3.58550e+000, 2.03079e+000, 1.99041e+001
0,12,727419.91,4335848.05,0,0,1,329.43,1745175.000,002905.1750,2.2,2.21243e+002,8.04599e+002,4.86855e+002,2.25616e+002,4.32697e+002,4.14789e+002,7.76897e+002,3.28592e+003,7.16247e+003,1.10754e+004, 1.04493e+003, 2.44145e+002, 3.55211e+002, 5.37285e+001, 7.32854e+001, 6.29282e+001, 5.81675e-001, 1.28045e+000, 1.13793e+000, 2.04405e+000, 1.90044e+001
0,13,727420.04,4335848.09,0,0,1,329.47,1745275.000,002905.2750,1.7,-4.76162e+002,2.27717e+003,-9.39226e+001,1.52563e+003,1.39147e+002,1.20988e+003,8.81627e+002,3.41538e+003,6.91951e+003,1.10041e+004, 3.00332e+003, 1.52974e+003, 1.00025e+003, 5.63286e+001, 7.21016e+001, 6.37484e+001,-1.25074e+000,-2.46832e-001, 3.65795e-001, 2.31992e+000, 1.83538e+001
0,14,727420.18,4335848.12,0,0,1,329.50,1745375.000,002905.3750,1.9,-4.76726e+002,1.91188e+003,-1.85726e+002,1.73521e+003,1.05296e+002,1.27576e+003,8.95315e+002,3.38188e+003,7.00959e+003,1.08407e+004, 2.49720e+003, 1.75419e+003, 1.05246e+003, 5.58092e+001, 7.13283e+001, 6.31095e+001,-1.25222e+000,-4.88035e-001, 2.76794e-001, 2.35598e+000, 1.85950e+001
0,15,727420.31,4335848.15,0,0,1,329.53,1745475.000,002905.4750,1.3,-5.01915e+002,1.84229e+003,-2.19058e+002,1.60094e+003,9.08284e+001,1.45059e+003,9.52523e+002,3.31624e+003,7.14362e+003,1.06430e+004, 2.40133e+003, 1.61175e+003, 1.20071e+003, 5.49061e+001, 7.04576e+001, 6.22217e+001,-1.31834e+000,-5.75597e-001, 2.38758e-001, 2.50671e+000, 1.89539e+001
0,16,727420.44,4335848.19,0,0,1,329.56,1745575.000,002905.5750,5.1,-5.30812e+002,1.48730e+003,1.21576e+002,9.31536e+002,2.30012e+002,1.01629e+003,8.94742e+002,3.45264e+003,7.21749e+003,1.08005e+004, 1.91813e+003, 9.31003e+002, 8.45154e+002, 5.70157e+001, 7.16817e+001, 6.39147e+001,-1.39419e+000, 3.19596e-001, 6.04736e-001, 2.35447e+000, 1.91518e+001
0,17,727420.57,4335848.22,0,0,1,329.59,1745675.000,002905.6750,3.5,5.99260e+002,-1.51772e+003,8.62969e+002,-1.01907e+003,9.07701e+002,-7.19167e+002,7.70085e+002,3.58909e+003,7.17962e+003,1.09562e+004, 9.93982e+000, 1.32284e+001, 1.18249e+001, 5.88602e+001, 7.25814e+001, 6.53148e+001, 1.57631e+000, 2.27077e+000, 2.38861e+000, 2.02611e+000, 1.90503e+001
