Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_210Hz,Q_210Hz,I_270Hz,Q_270Hz,I_330Hz,Q_330Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC210Hz[mS/m],EC270Hz[mS/m],EC330Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc210Hz[1/1000],MSusc270Hz[1/1000],MSusc330Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,20,727476.09,4335880.36,0,0,1,331.73,1535032.400,002535.0324,2.3,-5.59543e+002,1.18511e+003,-1.59003e+002,9.19192e+002,2.58272e+001,5.00376e+002,8.80063e+002,2.93089e+003,7.03355e+003,1.00858e+004, 1.51297e+003, 9.03261e+002, 3.95897e+002, 4.80844e+001, 6.66385e+001, 5.68124e+001,-1.46960e+000,-4.17829e-001, 6.78854e-002, 2.31580e+000, 1.86591e+001
0,21,727476.04,4335880.39,0,0,1,331.74,1535132.400,002535.1324,0.9,-8.99132e+002,2.19105e+003,-1.40633e+002,1.72923e+003,-8.26913e+001,1.14918e+003,9.07904e+002,2.88179e+003,6.98167e+003,9.83928e+003, 2.88246e+003, 1.74780e+003, 9.30649e+002, 4.73534e+001, 6.49410e+001, 5.56267e+001,-2.36045e+000,-3.69565e-001,-2.17319e-001, 2.38915e+000, 1.85202e+001
0,22,727475.99,4335880.41,0,0,1,331.74,1535232.400,002535.2324,0.9,-7.69351e+002,1.52246e+003,1.64901e+001,1.37368e+003,-3.92324e+000,9.78199e+002,9.29996e+002,2.97013e+003,6.78692e+003,9.76202e+003, 1.96539e+003, 1.37529e+003, 7.88989e+002, 4.89255e+001, 6.39170e+001, 5.59776e+001,-2.02009e+000, 4.33428e-002,-1.03116e-002, 2.44735e+000, 1.79990e+001
0,23,727475.94,4335880.44,0,0,1,331.75,1535332.400,002535.3324,1.1,-5.06957e+002,2.83775e+002,1.64981e+002,3.77749e+002,-1.81588e+001,3.29599e+002,8.53659e+002,3.06583e+003,6.60886e+003,9.86795e+003, 3.45983e+002, 3.73698e+002, 2.56716e+002, 5.02715e+001, 6.41048e+001, 5.67788e+001,-1.33158e+000, 4.33723e-001,-4.77267e-002, 2.24624e+000, 1.75226e+001
0,24,727475.88,4335880.47,0,0,1,331.76,1535432.400,002535.4324,0.8,-1.92328e+002,-3.43690e+002,2.77693e+002,-2.51282e+002,1.67460e+001,6.28014e+001,6.81734e+002,3.07695e+003,6.54579e+003,9.89357e+003, 3.41191e-001, 2.23876e+000, 4.79930e+001, 4.98419e+001, 6.41214e+001, 5.65590e+001,-5.05379e-001, 7.30143e-001, 4.40154e-002, 1.79345e+000, 1.73540e+001
0,25,727475.83,4335880.49,0,0,1,331.77,1535532.400,002535.5324,2.3,5.04978e+001,-1.49509e+002,1.61073e+002,5.36972e+001,3.29053e+002,3.81774e+002,5.16952e+002,3.15372e+003,6.64730e+003,9.71971e+003, 3.39047e-001, 5.53097e+001, 3.20322e+002, 5.05467e+001, 6.33413e+001, 5.65654e+001, 1.32735e-001, 4.23447e-001, 8.65243e-001, 1.35966e+000, 1.76254e+001
0,26,727475.78,4335880.52,0,0,1,331.78,1535632.400,002535.6324,2.1,-2.31062e+002,1.45296e+003,-2.08338e+002,1.03970e+003,4.93345e+000,1.22513e+003,5.68643e+002,3.08516e+003,6.62924e+003,9.76958e+003, 1.87351e+003, 1.02748e+003, 9.98528e+002, 4.95754e+001, 6.35948e+001, 5.61702e+001,-6.07129e-001,-5.47437e-001, 1.29669e-002, 1.49571e+000, 1.75771e+001
0,27,727475.73,4335880.55,0,0,1,331.79,1535732.400,002535.7324,2.2,-4.87763e+002,2.23063e+003,-4.34399e+002,1.74065e+003,-3.75748e+002,1.25297e+003,6.52748e+002,2.96833e+003,6.35268e+003,1.00945e+004, 2.93971e+003, 1.76100e+003, 1.02103e+003, 4.79161e+001, 6.48481e+001, 5.58811e+001,-1.28119e+000,-1.14110e+000,-9.87112e-001, 1.71713e+000, 1.68377e+001
0,28,727475.68,4335880.57,0,0,1,331.80,1535832.400,002535.8324,5.5,2.18345e+001,-8.24118e+001,2.05348e+002,1.62118e+002,1.37242e+002,-5.50162e+001,6.63590e+002,3.03883e+003,6.25299e+003,9.97446e+003, 3.40556e-001, 1.62781e+002, 4.01395e-001, 4.91366e+001, 6.38312e+001, 5.60491e+001, 5.73905e-002, 5.39873e-001, 3.60786e-001, 1.74567e+000, 1.65713e+001
0,29,727475.63,4335880.60,0,0,1,331.81,1535932.500,002535.9325,3.6,6.94204e+002,-3.33173e+003,1.07603e+003,-2.43415e+003,9.35770e+002,-1.73260e+003,6.50543e+002,3.09100e+003,6.40299e+003,9.78554e+003, 1.22192e+001, 1.98865e+001, 1.24955e+001, 4.99662e+001, 6.30677e+001, 5.61293e+001, 1.82628e+000, 2.83220e+000, 2.46257e+000, 1.71132e+000, 1.69722e+001
0,30,727475.57,4335880.60,0,0,1,331.82,1536032.400,002536.0324,2.3,6.61118e+002,-3.61266e+003,1.13053e+003,-2.48037e+003,9.62437e+002,-1.63866e+003,8.03123e+002,3.07578e+003,6.64881e+003,9.71429e+003, 1.13907e+001, 2.19331e+001, 1.31370e+001, 5.02574e+001, 6.32640e+001, 5.63758e+001, 1.73916e+000, 2.97586e+000, 2.53283e+000, 2.11312e+000, 1.76295e+001
0,31,727475.52,4335880.54,0,0,1,331.81,1536132.400,002536.1324,4.5,-1.35973e+002,1.58770e+002,6.83465e+001,3.29478e+001,1.24533e+002,5.34537e+002,1.00764e+003,3.11894e+003,6.66004e+003,9.76521e+003, 1.91316e+002, 3.22972e+001, 4.31232e+002, 5.17341e+001, 6.35779e+001, 5.73055e+001,-3.57322e-001, 1.79655e-001, 3.27371e-001, 2.65195e+000, 1.76595e+001
0,32,727475.47,4335880.48,0,0,1,331.80,1536232.400,002536.2324,4.3,-9.05740e+002,3.65838e+003,-7.41935e+002,2.44038e+003,-6.97956e+002,2.15948e+003,1.03311e+003,3.19316e+003,6.64822e+003,9.97510e+003, 4.96685e+003, 2.51198e+003, 1.80590e+003, 5.31056e+001, 6.48504e+001, 5.86304e+001,-2.37778e+000,-1.94817e+000,-1.83280e+000, 2.71907e+000, 1.76279e+001
0,33,727475.42,4335880.42,0,0,1,331.79,1536332.400,002536.3324,5.0,-1.28209e+003,4.24169e+003,-1.08864e+003,3.20797e+003,-1.01000e+003,2.63855e+003,1.09622e+003,3.22483e+003,6.96765e+003,9.95866e+003, 5.81528e+003, 3.35759e+003, 2.23174e+003, 5.38859e+001, 6.56200e+001, 5.94057e+001,-3.36412e+000,-2.85725e+000,-2.65112e+000, 2.88541e+000, 1.84827e+001
0,34,727475.36,4335880.36,0,0,1,331.78,1536432.400,002536.4324,4.5,-1.39604e+003,3.97157e+003,-9.93040e+002,2.82905e+003,-8.75525e+002,2.62115e+003,9.57342e+002,3.24640e+003,7.08445e+003,1.00856e+004, 5.42188e+003, 2.93798e+003, 2.21705e+003, 5.37302e+001, 6.67668e+001, 5.98627e+001,-3.66257e+000,-2.60666e+000,-2.29855e+000, 2.51941e+000, 1.87954e+001
0,35,727475.31,4335880.30,0,0,1,331.77,1536532.400,002536.5324,5.0,-1.33742e+002,9.79844e+002,-2.09663e+001,2.79028e+002,1.53553e+002,5.10636e+002,7.45024e+002,3.21994e+003,6.94895e+003,1.00351e+004, 1.24149e+003, 2.64604e+002, 4.14064e+002, 5.24924e+001, 6.61091e+001, 5.88978e+001,-3.51460e-001,-5.51054e-002, 4.03673e-001, 1.96011e+000, 1.84326e+001
0,36,727475.26,4335880.24,0,0,1,331.77,1536632.400,002536.6324,6.2,7.34405e+002,-2.62121e+003,7.90308e+002,-2.20965e+003,8.80417e+002,-1.34872e+003,9.53891e+002,3.19542e+003,6.77295e+003,9.71828e+003, 1.32537e+001, 1.14294e+001, 1.11996e+001, 5.28500e+001, 6.36014e+001, 5.79075e+001, 1.93214e+000, 2.07937e+000, 2.31673e+000, 2.51031e+000, 1.79616e+001
