Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,16,727474.83,4335879.27,0,0,1,330.41,85473082.000,234433.0820,0.1,1.93060e+002,-2.14780e+001,8.47738e+001,-2.33301e+002,-3.22767e+002,4.05823e+002,-4.02832e+002,2.07871e+003,3.31839e+002,7.42037e+003, 6.51932e-001, 6.77861e-002, 2.44287e+001, 3.86618e+001, 4.45681e+001, 3.50205e+001,-1.91262e+000,-8.40292e-001, 3.20579e+000, 4.00261e+000,-3.28522e+000
0,17,727474.77,4335879.37,0,0,1,330.41,85473182.100,234433.1821,0.4,2.48714e+002,-5.14803e+001,4.06154e+001,-1.57189e+002,-3.07700e+002,4.63603e+002,-3.98068e+002,2.03448e+003,4.74924e+002,7.45208e+003, 1.84978e+000, 5.78119e-002, 2.80172e+001, 3.78011e+001, 4.50938e+001, 3.62449e+001,-2.46329e+000,-4.02674e-001, 3.05592e+000, 3.95518e+000,-4.69844e+000
0,18,727474.71,4335879.46,0,0,1,330.41,85473282.100,234433.2821,0.5,3.04904e+002,1.86641e+001,6.92546e+001,-7.47694e+001,-2.86611e+002,4.62043e+002,-4.42427e+002,2.01552e+003,4.86376e+002,7.44402e+003, 1.70658e+001, 6.18094e-002, 2.79259e+001, 3.74375e+001, 4.50765e+001, 3.60855e+001,-3.01896e+000,-6.86516e-001, 2.84617e+000, 4.39690e+000,-4.81146e+000
0,19,727474.65,4335879.55,0,0,1,330.40,85473382.000,234433.3820,1.1,2.62613e+002,-1.87210e+001,9.52684e+001,-5.22481e+000,-2.89451e+002,3.93229e+002,-4.66545e+002,2.08275e+003,4.70550e+002,7.49556e+003, 1.94121e+000, 7.23953e-002, 2.36584e+001, 3.87532e+001, 4.53743e+001, 3.49961e+001,-2.60077e+000,-9.44267e-001, 2.87442e+000, 4.63714e+000,-4.65527e+000
0,20,727474.59,4335879.64,0,0,1,330.40,85473482.100,234433.4821,2.9,2.68101e+002,-1.64424e+002,1.63847e+002,5.85561e+000,-2.42452e+002,3.91995e+002,-3.24730e+002,2.17924e+003,5.24576e+002,7.59977e+003, 1.95780e+000, 1.56092e+000, 2.35931e+001, 4.06696e+001, 4.61941e+001, 3.58435e+001,-2.65505e+000,-1.62344e+000, 2.40713e+000, 3.22532e+000,-5.18837e+000
0,21,727474.53,4335879.73,0,0,1,330.40,85473582.100,234433.5821,4.5,2.62450e+002,-9.88378e+001,1.63119e+002,-7.79119e+001,-1.35180e+002,4.18007e+002,-1.84522e+002,2.21351e+003,6.34694e+002,7.60370e+003, 1.94354e+000, 1.38741e-001, 2.52316e+001, 4.13907e+001, 4.65138e+001, 3.67932e+001,-2.59916e+000,-1.61623e+000, 1.34139e+000, 1.83146e+000,-6.27409e+000
0,22,727474.47,4335879.83,0,0,1,330.40,85473682.100,234433.6821,1.4,2.98517e+002,-2.66710e+001,1.49163e+002,-1.45675e+002,-8.73715e+001,4.47347e+002,-2.70918e+002,2.19793e+003,7.15096e+002,7.54130e+003, 1.68430e+000, 1.21431e-001, 2.69779e+001, 4.11016e+001, 4.63080e+001, 3.72966e+001,-2.95582e+000,-1.47806e+000, 8.66780e-001, 2.69013e+000,-7.06607e+000
0,23,727474.41,4335879.92,0,0,1,330.39,85473782.000,234433.7820,0.6,3.53795e+002,-4.38833e+001,1.54274e+002,-7.83375e+001,-1.55704e+002,4.53948e+002,-3.48957e+002,2.17034e+003,6.03993e+002,7.61662e+003, 2.04602e+000, 1.27602e-001, 2.74578e+001, 4.05289e+001, 4.65200e+001, 3.73510e+001,-3.50220e+000,-1.52866e+000, 1.54520e+000, 3.46637e+000,-5.97151e+000
0,24,727474.35,4335880.01,0,0,1,330.39,85473882.100,234433.8821,0.8,3.10156e+002,9.58205e+001,1.17075e+002,-1.04562e+002,-1.61265e+002,4.21941e+002,-3.71910e+002,2.18427e+003,4.02258e+002,7.61770e+003, 7.58670e+001, 8.41341e-002, 2.54691e+001, 4.08009e+001, 4.60704e+001, 3.65585e+001,-3.07089e+000,-1.16028e+000, 1.60044e+000, 3.69479e+000,-3.98098e+000
0,25,727474.29,4335880.10,0,0,1,330.39,85473982.100,234433.9821,0.6,2.61057e+002,7.95490e+001,9.77679e+001,-1.45528e+002,-1.28351e+002,3.82094e+002,-3.46201e+002,2.15301e+003,4.09005e+002,7.60692e+003, 6.21856e+001, 7.36677e-002, 2.30077e+001, 4.01984e+001, 4.60304e+001, 3.54193e+001,-2.58538e+000,-9.69029e-001, 1.27358e+000, 3.43895e+000,-4.04762e+000
0,26,727474.22,4335880.22,0,0,1,330.40,85474082.100,234434.0821,1.9,2.18494e+002,-1.19266e+002,6.17454e+001,-1.36708e+002,-1.69663e+002,4.41876e+002,-3.26567e+002,2.10834e+003,6.24064e+002,7.66562e+003, 1.39946e+000, 5.93511e-002, 2.67040e+001, 3.93033e+001, 4.68788e+001, 3.67675e+001,-2.16431e+000,-6.12100e-001, 1.68385e+000, 3.24360e+000,-6.16933e+000
0,27,727474.14,4335880.35,0,0,1,330.41,85474182.100,234434.1821,2.8,3.26464e+002,-3.06358e+002,1.28319e+002,-7.09598e+001,-1.95038e+002,5.14906e+002,-3.13649e+002,2.17717e+003,6.36763e+002,7.82879e+003, 1.79770e+000, 9.48176e-002, 3.12460e+001, 4.06480e+001, 4.79639e+001, 3.92427e+001,-3.23209e+000,-1.27164e+000, 1.93593e+000, 3.11509e+000,-6.29448e+000
0,28,727474.07,4335880.47,0,0,1,330.42,85474282.100,234434.2821,1.9,3.91601e+002,-3.25339e+002,1.90456e+002,-4.37185e+001,-1.54017e+002,4.75375e+002,-2.92724e+002,2.27651e+003,5.91923e+002,7.91596e+003, 2.47234e+000, 1.81537e-001, 2.87918e+001, 4.26354e+001, 4.84524e+001, 3.91150e+001,-3.87572e+000,-1.88684e+000, 1.52845e+000, 2.90697e+000,-5.85253e+000
0,29,727473.99,4335880.60,0,0,1,330.43,85474382.100,234434.3821,1.1,1.78419e+002,-1.07677e+002,1.25552e+002,-4.56847e+001,-1.21493e+002,4.60949e+002,-2.76933e+002,2.34197e+003,6.14297e+002,7.95660e+003, 4.85352e-001, 9.19870e-002, 2.79025e+001, 4.39461e+001, 4.87861e+001, 3.93093e+001,-1.76770e+000,-1.24424e+000, 1.20549e+000, 2.74993e+000,-6.07307e+000
0,30,727473.91,4335880.72,0,0,1,330.44,85474482.100,234434.4821,1.3,2.14559e+002,2.66105e+001,1.05126e+002,-7.05872e+001,-1.40754e+002,4.84127e+002,-2.75791e+002,2.33300e+003,6.16396e+002,7.95453e+003, 2.18922e+001, 7.58556e-002, 2.93410e+001, 4.37599e+001, 4.87681e+001, 3.97855e+001,-2.12538e+000,-1.04192e+000, 1.39674e+000, 2.73858e+000,-6.09376e+000
0,31,727473.83,4335880.85,0,0,1,330.45,85474582.100,234434.5821,1.0,3.22548e+002,8.64951e+001,2.05273e+002,-5.26153e+001,-1.71648e+002,4.84305e+002,-2.38329e+002,2.32956e+003,7.03083e+002,7.85125e+003, 6.92733e+001, 2.51501e-001, 2.93433e+001, 4.36790e+001, 4.82745e+001, 3.96151e+001,-3.19338e+000,-2.03348e+000, 1.70357e+000, 2.36614e+000,-6.94778e+000
0,32,727473.76,4335880.97,0,0,1,330.47,85474682.100,234434.6821,2.2,3.23358e+002,1.20554e+002,2.03375e+002,-1.50573e+001,-1.33751e+002,4.92960e+002,-1.10603e+002,2.28626e+003,8.13143e+002,7.87112e+003, 9.48272e+001, 2.41258e-001, 2.98939e+001, 4.28401e+001, 4.86786e+001, 3.96646e+001,-3.20139e+000,-2.01470e+000, 1.32720e+000, 1.09738e+000,-8.03101e+000
