Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,21,727422.14,4335847.62,0,0,1,330.56,2329067.000,003849.0670,1.7,7.04724e+002,-6.54442e+001,-1.02860e+002,1.74245e+002,3.40534e+002,5.92900e+002,-2.06147e+001,1.92003e+003,1.42735e+003,7.08408e+003, 7.22962e+000, 3.56503e+001, 3.83736e+001, 3.56767e+001, 4.49358e+001, 3.94063e+001,-6.96394e+000, 1.02051e+000,-3.37115e+000, 2.04443e-001,-1.40546e+001
0,22,727422.12,4335847.61,0,0,1,330.58,2329167.000,003849.1670,1.5,7.32816e+002,-6.57113e+001,-4.54452e+001,1.78107e+002,3.76130e+002,5.90653e+002,-6.52214e-001,1.85010e+003,1.41951e+003,7.15989e+003, 7.65460e+000, 3.65544e+001, 3.84663e+001, 3.43389e+001, 4.54224e+001, 3.91427e+001,-7.24054e+000, 4.50751e-001,-3.72289e+000, 6.46759e-003,-1.39779e+001
0,23,727422.11,4335847.61,0,0,1,330.60,2329267.000,003849.2670,2.5,7.32933e+002,-1.75436e+002,3.93554e+001,2.19564e+002,3.91939e+002,5.07323e+002,6.67747e-001,1.74676e+003,1.40148e+003,7.21031e+003, 7.65640e+000, 4.58605e+001, 3.31586e+001, 3.23159e+001, 4.57170e+001, 3.65590e+001,-7.24169e+000,-3.90185e-001,-3.87906e+000,-6.62158e-003,-1.38016e+001
0,24,727422.10,4335847.60,0,0,1,330.62,2329367.000,003849.3670,4.1,7.64629e+002,-1.43862e+002,-4.81953e+001,2.24618e+002,3.65599e+002,4.98306e+002,-2.32460e+001,1.71741e+003,1.45649e+003,7.27208e+003, 8.08510e+000, 4.63181e+001, 3.24133e+001, 3.17273e+001, 4.62538e+001, 3.62408e+001,-7.55367e+000, 4.78035e-001,-3.61884e+000, 2.30542e-001,-1.43395e+001
0,25,727422.09,4335847.60,0,0,1,330.64,2329467.000,003849.4670,0.9,7.32634e+002,5.85287e+001,-8.92550e+001,1.60630e+002,3.56204e+002,5.64419e+002,-1.32623e+001,1.74840e+003,1.56264e+003,7.29562e+003, 6.02780e+001, 3.28163e+001, 3.66357e+001, 3.23412e+001, 4.66545e+001, 3.81540e+001,-7.23874e+000, 8.85474e-001,-3.52601e+000, 1.31522e-001,-1.53765e+001
0,26,727422.07,4335847.59,0,0,1,330.66,2329567.000,003849.5670,3.2,6.09990e+002,-1.15633e+002,-2.73732e+001,1.54312e+002,3.84796e+002,5.54940e+002,-2.02662e+000,1.82389e+003,1.55866e+003,7.24699e+003, 5.89731e+000, 3.16446e+001, 3.62051e+001, 3.38258e+001, 4.63201e+001, 3.83831e+001,-6.03062e+000, 2.71478e-001,-3.80850e+000, 2.00968e-002,-1.53377e+001
0,27,727422.06,4335847.59,0,0,1,330.68,2329667.000,003849.6670,3.6,6.05689e+002,-1.59535e+002,-6.94248e+000,2.15416e+002,4.07201e+002,5.02215e+002,1.09944e+001,1.81626e+003,1.51988e+003,7.20937e+003, 5.84052e+000, 4.45630e+001, 3.29208e+001, 3.36884e+001, 4.59801e+001, 3.69989e+001,-5.98823e+000, 6.88463e-002,-4.02980e+000,-1.09018e-001,-1.49589e+001
0,28,727422.05,4335847.58,0,0,1,330.70,2329767.000,003849.7670,4.6,6.95858e+002,-1.16752e+002,-1.76922e+001,2.05171e+002,4.31759e+002,4.95964e+002,-3.23850e+001,1.76232e+003,1.51899e+003,7.20837e+003, 7.09833e+000, 4.23453e+001, 3.26648e+001, 3.25891e+001, 4.59714e+001, 3.65372e+001,-6.87663e+000, 1.75457e-001,-4.27232e+000, 3.21192e-001,-1.49502e+001
0,29,727422.04,4335847.58,0,0,1,330.72,2329867.100,003849.8671,3.0,7.64428e+002,-1.68217e+002,3.99837e+001,1.83012e+002,4.67793e+002,5.05480e+002,-4.88518e+001,1.75715e+003,1.60463e+003,7.21890e+003, 8.08183e+000, 3.81391e+001, 3.35068e+001, 3.24733e+001, 4.62366e+001, 3.68944e+001,-7.55170e+000,-3.96413e-001,-4.62805e+000, 4.84548e-001,-1.57864e+001
0,30,727422.03,4335847.57,0,0,1,330.74,2329967.000,003849.9670,3.2,7.72065e+002,-2.37384e+002,6.35959e+001,2.25651e+002,4.55986e+002,5.38246e+002,-1.76531e+001,1.76083e+003,1.61419e+003,7.22109e+003, 8.20700e+000, 4.74687e+001, 3.55751e+001, 3.25771e+001, 4.62731e+001, 3.77199e+001,-7.62685e+000,-6.30439e-001,-4.51151e+000, 1.75069e-001,-1.58797e+001
0,31,727421.96,4335847.57,0,0,1,330.75,2330067.000,003850.0670,2.4,6.96535e+002,-2.30659e+002,3.69310e+001,2.72989e+002,4.06369e+002,5.91852e+002,-1.86714e+001,1.81917e+003,1.47108e+003,7.21435e+003, 7.10830e+000, 5.71795e+001, 3.87468e+001, 3.37109e+001, 4.59021e+001, 3.91820e+001,-6.88330e+000,-3.66153e-001,-4.02158e+000, 1.85169e-001,-1.44821e+001
0,32,727421.87,4335847.56,0,0,1,330.76,2330167.000,003850.1670,6.3,6.46119e+002,-2.01487e+002,3.51967e+001,2.58319e+002,4.07189e+002,6.43303e+002,-4.96192e+001,1.89422e+003,1.47185e+003,7.22577e+003, 6.38706e+000, 5.40308e+001, 4.21124e+001, 3.51420e+001, 4.59800e+001, 4.09467e+001,-6.38667e+000,-3.48961e-001,-4.02968e+000, 4.92161e-001,-1.44896e+001
0,33,727421.78,4335847.56,0,0,1,330.78,2330267.000,003850.2670,4.8,5.86705e+002,-4.05115e+001,4.51707e+001,3.07928e+002,5.04806e+002,6.79940e+002,-2.52914e+000,1.90682e+003,1.58433e+003,7.21823e+003, 5.59367e+000, 6.47676e+001, 4.52178e+001, 3.54437e+001, 4.61856e+001, 4.22783e+001,-5.80108e+000,-4.47827e-001,-4.99332e+000, 2.50801e-002,-1.55883e+001
0,34,727421.69,4335847.55,0,0,1,330.79,2330367.000,003850.3670,4.1,5.25249e+002,1.94304e+002,-7.75085e+001,3.80954e+002,5.64596e+002,6.72872e+002,1.88301e+002,1.96457e+003,1.72303e+003,7.25515e+003, 1.59484e+002, 7.94535e+001, 4.51752e+001, 3.71928e+001, 4.67526e+001, 4.30051e+001,-5.19501e+000, 7.68895e-001,-5.58309e+000,-1.86551e+000,-1.69414e+001
