Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,13,0.13,0.00,0,0,49137344.200,133857.3442,46.7,-2.34616e+002,-9.44225e+000,2.37477e+002,1.70469e+002,2.59464e+002,3.45210e+002,5.40710e+002,8.14088e+002,4.17465e+002,2.04513e+003, 1.88979e-001, 3.61938e+001, 2.10458e+001, 1.50614e+001, 1.10165e+001, 1.61350e+001, 2.32291e+000,-2.34575e+000,-2.56265e+000,-5.33304e+000,-4.11997e+000
0,14,0.14,0.00,0,0,49137444.200,133857.4442,47.1,-8.02523e+001,-1.22720e+002,2.78835e+002,1.56514e+002,2.79987e+002,3.27155e+002,4.97661e+002,7.42796e+002,4.24332e+002,2.07247e+003, 1.88662e-001, 3.37849e+001, 2.00415e+001, 1.36618e+001, 1.11759e+001, 1.53412e+001, 7.93962e-001,-2.75371e+000,-2.76507e+000,-4.90949e+000,-4.18760e+000
0,15,0.15,0.00,0,0,49137544.200,133857.5442,47.0,-1.55941e+001,-1.57835e+002,1.86007e+002,1.49782e+002,2.60587e+002,3.15816e+002,4.19123e+002,7.32669e+002,4.38346e+002,2.07347e+003, 1.88573e-001, 3.13175e+001, 1.92706e+001, 1.33132e+001, 1.11957e+001, 1.49412e+001, 1.54228e-001,-1.83781e+000,-2.57373e+000,-4.13630e+000,-4.32560e+000
0,16,0.15,0.00,0,0,49137644.200,133857.6442,47.2,-6.39099e+001,-1.25798e+002,1.08176e+002,1.47690e+002,2.58445e+002,3.23774e+002,3.68133e+002,7.68665e+002,3.99969e+002,2.18682e+003, 1.88636e-001, 3.00698e+001, 1.97426e+001, 1.38614e+001, 1.17898e+001, 1.54740e+001, 6.32230e-001,-1.06922e+000,-2.55260e+000,-3.63400e+000,-3.94764e+000
0,17,0.16,0.00,0,0,49137744.200,133857.7442,46.7,-1.01942e+002,-1.47554e+002,1.17645e+002,2.19134e+002,2.69354e+002,3.21647e+002,3.31019e+002,7.47840e+002,3.83067e+002,2.21451e+003, 1.88699e-001, 4.47494e+001, 1.96632e+001, 1.34044e+001, 1.19271e+001, 1.53336e+001, 1.00865e+000,-1.16276e+000,-2.66021e+000,-3.26823e+000,-3.78114e+000
0,18,0.17,0.00,0,0,49137844.200,133857.8442,47.2,-4.16722e+001,-3.15599e+002,1.88170e+002,1.29217e+002,2.34799e+002,3.41785e+002,3.33744e+002,7.54658e+002,4.92025e+002,2.20154e+003, 1.88605e-001, 2.71075e+001, 2.07226e+001, 1.35335e+001, 1.19683e+001, 1.57880e+001, 4.12198e-001,-1.85916e+000,-2.31933e+000,-3.29509e+000,-4.85402e+000
0,19,0.18,0.00,0,0,49137944.200,133857.9442,46.9,5.26481e+001,-4.04696e+002,1.51091e+002,2.75428e+001,2.27362e+002,3.91316e+002,4.02928e+002,7.49336e+002,5.60327e+002,2.21870e+003, 1.88100e-001, 6.05874e+000, 2.36843e+001, 1.35830e+001, 1.21380e+001, 1.69717e+001,-5.20522e-001,-1.49308e+000,-2.24595e+000,-3.97679e+000,-5.52599e+000
0,20,0.19,0.00,0,0,49138044.200,133858.0442,47.6,2.56045e+002,-3.06674e+002,1.17258e+002,9.10161e+001,3.16251e+002,3.70026e+002,3.20893e+002,6.78618e+002,5.86817e+002,2.20323e+003, 1.82916e+000, 1.86639e+001, 2.28236e+001, 1.21343e+001, 1.20804e+001, 1.61523e+001,-2.52893e+000,-1.15894e+000,-3.12265e+000,-3.16841e+000,-5.78648e+000
0,21,0.20,0.00,0,0,49138144.200,133858.1442,47.1,3.41842e+002,-2.74915e+002,2.77780e+002,1.86021e+002,4.22530e+002,3.25044e+002,3.61461e+002,7.18591e+002,5.23126e+002,2.16406e+003, 1.82502e+000, 3.99536e+001, 2.05913e+001, 1.29386e+001, 1.17903e+001, 1.54902e+001,-3.37491e+000,-2.74331e+000,-4.16985e+000,-3.56825e+000,-5.16005e+000
0,22,0.21,0.00,0,0,49138244.200,133858.2442,47.1,3.20701e+002,-2.24103e+002,3.15552e+002,1.91500e+002,3.49049e+002,3.45480e+002,5.70025e+002,8.13979e+002,4.63858e+002,2.09785e+003, 1.69160e+000, 4.15906e+001, 2.14855e+001, 1.51249e+001, 1.13572e+001, 1.64217e+001,-3.16652e+000,-3.11576e+000,-3.44594e+000,-5.62136e+000,-4.57678e+000
