Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,13,-2.39,0.00,0,0,49300458.500,134140.4585,0.5,3.37924e+002,-7.18158e+001,-3.91808e+002,2.06941e+002,7.30724e+001,6.49309e+002,-2.02256e+002,1.99583e+003,1.71381e+003,7.31201e+003, 1.79605e+000, 4.08373e+001, 3.84817e+001, 3.55346e+001, 4.50524e+001, 3.94344e+001,-3.33629e+000, 3.88227e+000,-7.22381e-001, 2.00219e+000,-1.68061e+001
0,14,-2.57,0.00,0,0,49300558.500,134140.5585,0.4,3.34636e+002,-1.13569e+002,-4.68356e+002,1.89175e+002,1.11492e+001,6.82892e+002,-1.97465e+002,1.98126e+003,1.73757e+003,7.26929e+003, 1.77323e+000, 3.72693e+001, 4.01391e+001, 3.52615e+001, 4.48307e+001, 3.99049e+001,-3.30388e+000, 4.64251e+000,-1.10253e-001, 1.95472e+000,-1.70371e+001
0,15,-2.76,0.00,0,0,49300658.500,134140.6585,0.4,2.97142e+002,-1.51613e+002,-4.54494e+002,2.38489e+002,8.99477e+000,6.01195e+002,-1.97357e+002,2.03160e+003,1.71296e+003,7.23427e+003, 1.60912e+000, 4.71934e+001, 3.51857e+001, 3.62058e+001, 4.45512e+001, 3.82651e+001,-2.93424e+000, 4.50479e+000,-8.89489e-002, 1.95365e+000,-1.67979e+001
0,16,-2.94,0.00,0,0,49300758.600,134140.7586,0.2,2.47924e+002,-1.59800e+002,-4.01989e+002,2.48759e+002,2.55108e+001,5.85917e+002,-2.14187e+002,2.12012e+003,1.62191e+003,7.20675e+003, 1.76718e+000, 4.92695e+001, 3.43516e+001, 3.78704e+001, 4.41742e+001, 3.83889e+001,-2.44882e+000, 3.98335e+000,-2.52255e-001, 2.12043e+000,-1.59121e+001
0,17,-3.13,0.00,0,0,49300858.500,134140.8585,0.3,2.22743e+002,-7.66680e+001,-3.64217e+002,2.34088e+002,6.09217e+001,6.19045e+002,-2.78703e+002,2.07773e+003,1.59462e+003,7.17163e+003, 1.42167e+000, 4.63066e+001, 3.65652e+001, 3.70719e+001, 4.38898e+001, 3.88776e+001,-2.20037e+000, 3.60838e+000,-6.02297e-001, 2.76001e+000,-1.56465e+001
0,18,-3.31,0.00,0,0,49300958.600,134140.9586,0.4,2.03257e+002,9.46846e+000,-4.11229e+002,2.54128e+002,3.39423e+001,6.94755e+002,-2.54362e+002,2.06963e+003,1.65242e+003,7.17601e+003, 8.76973e+000, 5.03554e+001, 4.09975e+001, 3.69198e+001, 4.40443e+001, 4.05453e+001,-2.00807e+000, 4.07509e+000,-3.35612e-001, 2.51865e+000,-1.62090e+001
0,19,-3.49,0.00,0,0,49301058.500,134141.0585,0.3,2.32762e+002,-4.49956e+001,-4.24682e+002,2.55389e+002,4.62379e+001,7.15657e+002,-2.16912e+002,2.05630e+003,1.65691e+003,7.31072e+003, 1.58692e+000, 5.06103e+001, 4.23514e+001, 3.66696e+001, 4.49177e+001, 4.12295e+001,-2.29923e+000, 4.20869e+000,-4.57160e-001, 2.14743e+000,-1.62527e+001
0,20,-3.68,0.00,0,0,49301158.500,134141.1585,1.1,2.42493e+002,-1.31709e+002,-4.08234e+002,2.62145e+002,9.08799e+001,6.83621e+002,-2.35017e+002,2.04553e+003,1.67820e+003,7.40369e+003, 1.71228e+000, 5.19785e+001, 4.06875e+001, 3.64671e+001, 4.55621e+001, 4.07236e+001,-2.39524e+000, 4.04535e+000,-8.98344e-001, 2.32688e+000,-1.64598e+001
0,21,-3.86,0.00,0,0,49301258.600,134141.2586,0.7,2.43600e+002,-1.56166e+002,-4.13052e+002,2.85599e+002,1.13726e+002,6.31824e+002,-2.36606e+002,2.05646e+003,1.66229e+003,7.34542e+003, 1.72435e+000, 5.67368e+001, 3.76685e+001, 3.66724e+001, 4.51524e+001, 3.95320e+001,-2.40616e+000, 4.09319e+000,-1.12405e+000, 2.34263e+000,-1.63050e+001
0,22,-4.04,0.00,0,0,49301358.600,134141.3586,0.4,2.62498e+002,-1.06571e+002,-4.29002e+002,3.10482e+002,1.59967e+002,6.61100e+002,-1.95769e+002,2.02476e+003,1.66101e+003,7.29138e+003, 1.86120e+000, 6.18068e+001, 3.97634e+001, 3.60774e+001, 4.48027e+001, 4.00239e+001,-2.59258e+000, 4.25159e+000,-1.58073e+000, 1.93791e+000,-1.62926e+001
