Line,Sample,X,Y,Mark,Status,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,EC450Hz[mS/m],EC1530Hz[mS/m],EC5310Hz[mS/m],EC18330Hz[mS/m],EC63030Hz[mS/m],TotalEC[mS/m],MSusc450Hz[1/1000],MSusc1530Hz[1/1000],MSusc5310Hz[1/1000],MSusc18330Hz[1/1000],MSusc63030Hz[1/1000]
0,0,0.00,0.00,0,0,48367130.400,132607.1304,0.3,2.69791e+002,-1.86314e+002,-3.80401e+002,2.48250e+002,1.44058e+002,5.68100e+002,-1.66508e+002,1.71394e+003,1.48519e+003,6.17832e+003, 1.87908e+000, 4.91671e+001, 3.39750e+001, 3.02778e+001, 3.73447e+001, 3.37428e+001,-2.66452e+000, 3.76903e+000,-1.42363e+000, 1.64802e+000,-1.45806e+001
0,1,-0.18,0.00,0,0,48367230.400,132607.2304,0.7,2.72650e+002,-2.20616e+002,-3.69680e+002,2.51774e+002,8.12179e+001,4.92361e+002,-2.28130e+002,1.70516e+003,1.44710e+003,6.23748e+003, 1.88078e+000, 4.98800e+001, 2.90208e+001, 3.01146e+001, 3.76529e+001, 3.19097e+001,-2.69271e+000, 3.66261e+000,-8.02874e-001, 2.25862e+000,-1.42093e+001
0,2,-0.36,0.00,0,0,48367330.300,132607.3303,0.6,2.75892e+002,-1.02576e+002,-3.67778e+002,2.70628e+002,7.14552e+001,5.02797e+002,-2.41017e+002,1.68802e+003,1.45570e+003,6.26006e+003, 1.59459e+000, 5.36987e+001, 2.95965e+001, 2.97968e+001, 3.78124e+001, 3.20689e+001,-2.72469e+000, 3.64373e+000,-7.06399e-001, 2.38636e+000,-1.42931e+001
0,3,-0.54,0.00,0,0,48367430.400,132607.4304,0.3,2.43902e+002,-5.35270e+001,-3.68016e+002,3.00472e+002,1.45705e+002,5.64315e+002,-2.77244e+002,1.67444e+003,1.46580e+003,6.21238e+003, 1.72756e+000, 5.97686e+001, 3.37542e+001, 2.95451e+001, 3.75321e+001, 3.34728e+001,-2.40914e+000, 3.64609e+000,-1.43990e+000, 2.74554e+000,-1.43916e+001
0,4,-0.72,0.00,0,0,48367530.400,132607.5304,0.8,2.66815e+002,-5.71274e+001,-3.71854e+002,2.74688e+002,1.81339e+002,5.53925e+002,-2.29189e+002,1.67376e+003,1.45083e+003,6.14720e+003, 1.87413e+000, 5.45222e+001, 3.33311e+001, 2.95328e+001, 3.70805e+001, 3.31768e+001,-2.63516e+000, 3.68419e+000,-1.79173e+000, 2.26911e+000,-1.42456e+001
0,5,-0.90,0.00,0,0,48367630.400,132607.6304,1.7,3.18472e+002,-8.09344e+001,-3.53222e+002,1.89115e+002,1.79272e+002,5.61032e+002,-1.68520e+002,1.70033e+003,1.47836e+003,6.19109e+003, 1.68081e+000, 3.72570e+001, 3.37529e+001, 3.00254e+001, 3.74116e+001, 3.35954e+001,-3.14454e+000, 3.49926e+000,-1.77132e+000, 1.66795e+000,-1.45140e+001
0,6,-1.08,0.00,0,0,48367730.400,132607.7304,0.9,3.14379e+002,-5.03897e+001,-4.12642e+002,1.47747e+002,1.64446e+002,6.02353e+002,-2.07504e+002,1.68062e+003,1.46328e+003,6.19406e+003, 1.66262e+000, 2.89763e+001, 3.61923e+001, 2.96600e+001, 3.74002e+001, 3.43921e+001,-3.10419e+000, 4.08912e+000,-1.62495e+000, 2.05420e+000,-1.43670e+001
0,7,-1.26,0.00,0,0,48367830.400,132607.8304,1.0,3.03934e+002,-5.10069e+001,-4.58175e+002,2.14240e+002,1.16976e+002,5.65083e+002,-2.48148e+002,1.64388e+003,1.43740e+003,6.13636e+003, 1.62574e+000, 4.23049e+001, 3.36305e+001, 2.89796e+001, 3.69857e+001, 3.30796e+001,-3.00121e+000, 4.54136e+000,-1.15615e+000, 2.45705e+000,-1.41147e+001
0,8,-1.44,0.00,0,0,48367930.400,132607.9304,1.0,3.04489e+002,-1.15403e+002,-4.10419e+002,2.07484e+002,8.95717e+001,5.12310e+002,-2.43701e+002,1.63946e+003,1.42475e+003,6.14142e+003, 1.62736e+000, 4.09465e+001, 3.02703e+001, 2.88979e+001, 3.69925e+001, 3.17866e+001,-3.00669e+000, 4.06705e+000,-8.85418e-001, 2.41296e+000,-1.39913e+001
0,9,-1.62,0.00,0,0,48368030.400,132608.0304,1.0,3.39140e+002,-8.30446e+001,-4.44737e+002,1.92967e+002,1.09516e+002,5.07826e+002,-2.59998e+002,1.63244e+003,1.38045e+003,6.13705e+003, 1.80483e+000, 3.80301e+001, 3.01183e+001, 2.87680e+001, 3.68776e+001, 3.16528e+001,-3.34827e+000, 4.40787e+000,-1.08246e+000, 2.57453e+000,-1.35593e+001
0,10,-1.80,0.00,0,0,48368130.400,132608.1304,0.3,3.70036e+002,-4.45471e+001,-4.45416e+002,1.91429e+002,8.01905e+001,4.86996e+002,-2.62417e+002,1.60460e+003,1.36483e+003,6.06181e+003, 2.11921e+000, 3.77214e+001, 2.86922e+001, 2.82535e+001, 3.63750e+001, 3.07977e+001,-3.65275e+000, 4.41462e+000,-7.92721e-001, 2.59852e+000,-1.34069e+001
0,11,-1.98,0.00,0,0,48368230.400,132608.2304,1.0,3.40619e+002,-4.23199e+001,-3.94769e+002,1.53425e+002,9.50818e+001,4.87336e+002,-2.89587e+002,1.64517e+003,1.39288e+003,6.07180e+003, 1.81577e+000, 3.01144e+001, 2.87954e+001, 2.90032e+001, 3.64925e+001, 3.11183e+001,-3.36285e+000, 3.91166e+000,-9.39860e-001, 2.86795e+000,-1.36805e+001
0,12,-2.16,0.00,0,0,48368330.400,132608.3304,1.1,3.89663e+002,-8.15364e+001,-3.56275e+002,9.40014e+001,1.32512e+002,4.73355e+002,-3.09246e+002,1.66021e+003,1.40737e+003,6.12557e+003, 2.34376e+000, 1.83166e+001, 2.81599e+001, 2.92814e+001, 3.68586e+001, 3.10775e+001,-3.84612e+000, 3.52956e+000,-1.30961e+000, 3.06294e+000,-1.38219e+001
0,13,-2.34,0.00,0,0,48368430.400,132608.4304,0.3,4.09266e+002,-1.13708e+002,-3.66828e+002,1.83008e+002,9.56459e+001,4.76422e+002,-2.80863e+002,1.57501e+003,1.40513e+003,6.12350e+003, 2.60256e+000, 3.60323e+001, 2.81410e+001, 2.77017e+001, 3.68412e+001, 3.05443e+001,-4.03922e+000, 3.63430e+000,-9.45433e-001, 2.78143e+000,-1.38000e+001
