;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1, 39, 0,0,1,549319050,61.3, 33656.645,22141.529,53011.887,23298.578,72374.859,19639.566,86353.938,12987.105,98398.930,6737.110,84803.891
 1, 40, 1,0,1,549320050,60.9, 33675.738,21953.197,52948.785,23272.873,72219.242,19442.732,86153.031,12845.468,99390.000,5833.652,83347.922
 1, 41, 1,0,1,549321050,60.4, 33760.738,22060.861,53022.926,23503.586,72373.930,19616.439,86042.102,12916.406,98631.781,5953.206,84050.492
 1, 42, 1,0,1,549322050,60.4, 33780.746,22137.889,52796.520,23137.568,71913.797,19548.865,86135.508,13152.906,99989.117,6636.526,84613.750
 1, 43, 1,0,1,549323050,60.5, 33628.063,21942.166,53106.641,23218.398,72033.016,19544.467,86131.109,13014.004,99308.453,6480.336,84199.367
 1, 44, 1,0,1,549324050,61.3, 33815.012,22042.555,52927.961,23311.844,72403.844,19184.857,85942.922,12861.616,99434.195,7466.976,84867.852
 1, 45, 1,0,1,549325050,62.0, 34382.961,22128.334,52827.617,23187.914,71748.945,19328.352,85997.156,13049.592,98951.219,5934.368,83628.563
 1, 46, 1,0,1,549326050,62.5, 33778.988,22318.842,52867.379,23207.625,72483.414,19730.910,86046.594,12930.689,98646.742,7059.166,85247.234
 1, 47, 1,0,1,549327050,62.4, 33601.098,22527.568,53006.316,23168.469,72197.000,19445.564,86173.078,13143.789,99492.281,6074.020,84359.406
 1, 48, 1,0,1,549328050,62.7, 33405.055,22200.451,52851.273,23000.957,71999.773,19911.852,85604.477,12979.857,98126.070,6581.937,84675.055
 1, 49, 1,0,1,549329050,63.3, 33671.656,21910.318,52804.441,23208.414,72208.680,19581.279,86169.195,12901.484,99758.992,5790.695,83392.195
 1, 50, 1,0,1,549330050,64.0, 33845.488,22016.789,52905.719,23279.455,72398.461,19935.627,86016.195,12691.585,99285.750,5917.005,83840.461
 1, 51, 1,0,1,549331050,63.9, 34159.961,22166.381,52846.289,23156.875,72085.406,19750.422,86080.063,12928.273,98740.617,7137.782,85139.734
 1, 52, 1,0,1,549332050,62.8, 33598.660,22078.758,52957.461,23129.881,71724.469,19499.809,86065.234,13065.043,98265.953,6574.889,84348.383
 1, 53, 1,0,1,549333050,62.4, 33998.074,21948.010,52800.211,23239.695,72011.664,19712.758,86014.953,12900.330,99299.727,7570.530,85371.320
 1, 54, 1,0,1,549334050,62.3, 33791.656,22366.766,52869.754,22929.406,72275.609,19851.396,86300.617,13034.261,99201.875,4205.836,82387.664
 1, 55, 1,0,1,549335050,62.7, 33814.809,22250.912,52928.535,23235.551,71762.109,19739.715,86096.422,12940.906,99022.867,6090.953,84258.031
 1, 56, 1,0,1,549336050,62.5, 33709.297,22109.043,52853.949,23287.326,72003.344,19548.010,86130.641,12597.806,99083.555,7167.038,84709.219
 1, 57, 1,0,1,549337050,62.8, 34066.641,22051.201,52846.121,23345.494,71898.250,19709.609,86003.664,12892.152,99787.328,4898.672,82897.125
 1, 58, 1,0,1,549338050,63.7, 33737.820,22272.924,52746.051,23060.301,71853.242,19756.398,85958.305,12800.520,98831.805,7082.596,84972.734
 1, 59, 1,0,1,549339050,63.6, 33383.039,22238.668,52907.688,23065.977,72270.453,19625.465,86371.781,12807.302,99281.672,6010.989,83748.406
 1, 60, 1,0,1,549340050,63.5, 34018.496,22016.086,52821.074,23307.256,72159.313,19543.123,85974.703,13008.026,99866.078,6775.043,84649.531
 2,  0, 1,0,1,549380050,63.2, 33657.020,22335.227,53022.777,23300.689,72387.383,20217.867,86385.828,12661.937,99089.578,6364.513,84880.234
 2,  1, 1,0,1,549381050,62.2, 33752.668,22013.951,52826.746,23173.684,71998.922,19741.012,86156.414,13057.003,98157.914,6340.248,84325.898
 2,  2, 1,0,1,549382050,63.7, 34032.711,22202.990,53073.805,23316.582,71570.289,19691.551,86086.781,12998.112,99535.469,5916.417,84125.648
 2,  3, 1,0,1,549383050,63.1, 33550.180,21739.393,52423.852,23237.527,72617.500,19436.322,86278.172,12984.978,99768.203,6354.261,83752.477
 2,  4, 1,0,1,549384050,63.0, 33758.234,22230.053,52774.051,23300.527,72323.547,20171.520,85750.523,12730.925,98885.648,7530.554,85963.570
 2,  5, 1,0,1,549385050,63.3, 33398.512,21883.701,53046.680,23388.658,72193.555,19549.482,86067.898,12639.534,98131.852,6799.108,84260.484
 2,  6, 1,0,1,549386050,62.9, 33322.844,22173.043,52782.184,23100.889,72281.094,19423.533,86133.625,13069.771,98968.391,5945.658,83712.891
 2,  7, 1,0,1,549387050,62.5, 33566.723,22166.635,52654.301,23172.014,72505.234,19582.271,86041.148,13107.084,99834.633,6701.987,84729.992
 2,  8, 1,0,1,549388050,62.1, 33950.688,22094.943,52891.695,23340.164,71751.367,17664.453,86360.602,12961.823,98169.688,7244.400,83305.781
 2,  9, 1,0,1,549389050,62.5, 33810.176,21900.176,53067.477,23109.578,72527.820,19962.754,86315.898,13050.967,98745.773,5824.234,83847.711
 2, 10, 1,0,1,549390051,61.7, 33696.328,22154.385,52816.855,23208.699,72183.469,20109.629,86312.313,13271.710,98241.234,5990.025,84734.445
 2, 11, 1,0,1,549391051,62.2, 33813.543,22016.902,53054.852,23404.500,72281.609,19324.566,85768.281,12772.999,100090.086,6445.501,83964.469
 2, 12, 1,0,1,549392051,62.3, 33788.559,21955.080,52988.602,23165.152,71873.039,19818.984,85968.477,12986.350,98413.828,6442.626,84368.195
 2, 13, 1,0,1,549393051,62.7, 33251.555,22397.336,52847.637,23378.354,72173.352,19584.531,85973.055,12881.969,99868.211,6099.147,84341.336
 2, 14, 1,0,1,549394051,62.2, 33613.211,22170.506,53010.516,23293.689,71998.711,19401.381,86135.992,12972.527,98658.227,7165.853,85003.961
 2, 15, 1,0,1,549395051,63.2, 33710.797,22148.896,53108.961,23085.848,72209.867,19956.770,86268.938,12622.545,99115.367,6358.604,84172.656
 2, 16, 1,0,1,549396051,62.4, 33724.723,22182.383,52948.336,23255.168,71737.594,19810.883,86150.414,12939.949,99010.609,5592.884,83781.266
 2, 17, 1,0,1,549397051,61.7, 33942.645,22155.367,53037.625,23168.516,71990.570,19781.750,86057.500,12866.126,99049.648,6169.699,84141.453
 2, 18, 1,0,1,549398051,61.6, 34182.516,21688.596,52780.359,23233.613,72498.703,19017.252,85961.820,12913.065,98686.906,7209.254,84061.781
 2, 19, 1,0,1,549399051,61.7, 33630.043,22449.229,52765.668,23379.293,71952.398,19972.281,86137.117,12962.600,100967.656,5248.660,84012.063
 2, 20, 1,0,1,549400051,61.8, 33666.629,22440.328,52924.383,23168.416,72181.836,19603.965,85874.203,12888.348,99320.281,6523.337,84624.391
 2, 21, 1,0,1,549401051,61.9, 34057.641,21892.641,52903.523,23220.285,72145.555,20122.916,85986.906,12811.718,99135.969,6399.909,84447.469
 2, 22, 1,0,1,549402051,62.7, 33872.426,21905.461,52818.672,23059.316,71985.133,19788.496,86185.664,12911.912,99695.430,7254.452,84919.641
 2, 23, 1,0,1,549403051,61.9, 34126.305,21774.258,52722.879,22990.023,72505.836,19911.566,86136.563,12809.168,98854.719,5776.052,83261.070
 2, 24, 1,0,1,549404051,61.9, 34027.176,21904.113,52915.879,22978.199,71900.766,18979.504,86203.859,13173.272,99365.789,7216.642,84251.727
 2, 25, 1,0,1,549405051,61.7, 33727.883,21942.682,52751.711,23289.494,72151.500,19538.830,86062.508,12875.372,97923.180,6019.519,83665.898
 2, 26, 1,0,1,549406051,61.7, 33784.793,22097.516,52825.684,23069.639,72172.555,19655.197,85990.891,13028.464,99816.688,6377.626,84228.438
 2, 27, 1,0,1,549407051,61.9, 33793.965,22032.531,52956.531,23213.441,72029.109,19913.260,86232.492,13073.661,97441.875,6896.697,85129.594
 2, 28, 1,0,1,549408050,62.2, 33643.961,22151.953,52745.656,23141.258,71858.289,19490.301,86119.938,13033.978,99786.148,6040.645,83858.141
 2, 29, 1,0,1,549409050,62.2, 33654.559,22267.006,52983.984,23218.980,72505.891,19719.328,86156.922,12994.257,98718.445,6687.762,84887.328
 2, 30, 1,0,1,549410050,61.3, 34007.465,21677.828,52744.242,23368.539,72184.430,19393.143,86195.133,12941.827,98801.906,5363.269,82744.602
 2, 31, 1,0,1,549411050,60.5, 33602.137,21954.336,52752.504,23137.158,72171.820,19834.023,86336.008,13127.231,98789.320,6952.106,85004.859
 2, 32, 1,0,1,549412050,60.9, 33735.641,22297.607,52754.543,23070.598,72377.156,19832.348,86193.680,12582.625,98546.383,5816.122,83599.297
 2, 33, 1,0,1,549413050,60.8, 33826.641,22189.137,52467.234,23263.922,72097.828,19245.387,86253.492,12766.085,99297.414,7238.598,84703.125
 2, 34, 1,0,1,549414050,62.0, 33350.984,21616.381,52853.848,23351.994,71575.641,19606.396,86180.195,12968.593,98181.898,4965.637,82509.000
 2, 35, 1,0,1,549415050,61.7, 33973.496,22672.434,52964.551,23268.031,72165.555,19467.689,86330.758,13178.362,98920.609,6349.521,84936.039
 2, 36, 1,0,1,549416050,61.0, 33579.258,22492.508,52776.730,23097.875,71514.125,19989.225,86304.227,13034.753,98657.094,6871.660,85486.016
 2, 37, 1,0,1,549417050,61.4, 33779.934,22218.768,52657.738,23296.824,72407.047,19243.166,86175.422,13150.075,98771.758,7435.446,85344.281
 2, 38, 1,0,1,549418050,61.9, 33578.102,22633.541,52769.141,23361.762,72125.984,19525.598,86163.172,12883.969,98468.648,5534.612,83939.484
 2, 39, 1,0,1,549419050,63.1, 33592.281,22150.998,52692.961,23269.238,71774.438,19265.982,86723.133,13395.017,98176.828,5259.495,83340.727
 2, 40, 1,0,1,549420050,61.5, 33946.961,22050.090,52852.301,23546.309,71759.992,19979.008,85963.961,12797.043,97911.961,4969.473,83341.922
 2, 41, 1,0,1,549421050,61.0, 33726.168,22039.316,53082.734,23092.383,71750.367,19787.135,86390.734,13066.520,100545.625,6154.464,84139.820
 2, 42, 1,0,1,549422050,61.1, 33809.277,21932.152,53025.219,23339.299,72173.570,19778.785,86213.734,12787.545,98303.813,5947.795,83785.578
 2, 43, 1,0,1,549423050,61.2, 33637.672,21978.717,52780.027,23059.568,72315.844,19541.652,85809.953,12817.459,99702.609,6852.522,84249.922
 2, 44, 1,0,1,549424050,61.9, 33974.148,22001.123,52843.207,23443.133,72147.898,20281.203,86295.898,13005.001,98823.148,6056.402,84786.859
 2, 45, 1,0,1,549425050,62.2, 34082.488,21999.689,52683.898,23218.148,72133.242,19916.875,86179.320,12907.320,99839.938,6605.037,84647.070
 2, 46, 1,0,1,549426050,61.4, 33600.082,22149.732,52922.922,23138.650,71905.969,20477.672,85999.344,12969.701,98464.461,6256.075,84991.836
 2, 47, 1,0,1,549427050,60.7, 33669.516,21706.551,52835.449,23317.947,72246.727,19825.697,86123.773,13107.558,99424.914,6797.048,84754.797
