;recorded by GEM.dll
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_450Hz,Q1_450Hz,I1_1530Hz,Q1_1530Hz,I1_5310Hz,Q1_5310Hz,I1_18330Hz,Q1_18330Hz,I1_63030Hz,Q1_63030Hz,Q1_SumC
 1, 39, 0,0,1,539307544,29.0, 33666.551,22371.014,52643.340,23286.805,72355.477,20125.916,86138.625,13168.706,98070.992,6335.150,85287.586
 1, 40, 0,0,1,539308544,28.9, 33490.020,22171.668,52624.422,23203.107,71936.391,19697.773,85943.086,12929.000,99358.508,5910.794,83912.344
 1, 41, 0,0,1,539309544,28.6, 33920.371,22031.096,52814.180,23201.672,71947.273,19618.934,86284.781,12829.938,99193.383,6721.265,84402.906
 1, 42, 0,0,1,539310544,28.9, 33653.801,22181.529,52741.270,23392.568,71611.352,19914.727,85838.906,12915.760,99921.180,6969.126,85373.711
 1, 43, 0,0,1,539311544,29.5, 33725.059,22125.305,53136.129,23216.414,72095.320,19736.455,86087.445,12874.195,99296.789,5364.221,83316.586
 1, 44, 0,0,1,539312544,29.0, 33864.535,22087.299,52819.711,23163.109,72103.844,19893.771,86287.500,12893.427,97991.594,6222.287,84259.898
 1, 45, 0,0,1,539313544,29.5, 33682.988,22000.900,52835.949,23315.111,72230.773,19755.895,86050.750,12834.942,98544.156,6322.337,84229.188
 1, 46, 0,0,1,539314544,29.7, 33654.602,22108.588,52793.148,23343.732,72487.555,19759.859,85991.641,12877.979,99245.664,6139.404,84229.563
 1, 47, 0,0,1,539315544,30.2, 33735.336,22112.836,52854.773,23270.186,71837.742,19777.182,86165.063,13146.810,97641.422,6153.985,84461.000
 1, 48, 0,0,1,539316544,30.4, 33516.863,22143.572,52801.941,23343.584,72088.547,19880.627,85907.219,12890.007,100168.906,6566.597,84824.383
 1, 49, 0,0,1,539317544,30.1, 33867.430,22437.092,52699.473,23205.943,71885.328,19658.637,86073.109,12999.917,98378.297,6783.393,85084.977
 1, 50, 0,0,1,539318544,31.5, 33697.801,22247.338,52330.078,22918.104,71730.500,19376.563,86048.445,13099.777,98987.313,6700.583,84342.367
 1, 51, 0,0,1,539319544,33.2, 33514.656,22447.389,52531.738,24081.529,72064.930,19908.961,86263.539,13066.915,99011.563,5502.028,85006.820
 1, 52, 0,0,1,539320544,33.1, 33936.719,22116.998,52708.918,23195.537,71430.000,19750.139,85933.641,13175.548,99344.070,6654.019,84892.234
 1, 53, 0,0,1,539321544,34.8, 33750.492,21827.041,52707.500,23322.559,72101.406,21749.525,86306.188,12730.275,99081.523,6799.034,86428.430
 1, 54, 0,0,1,539322544,35.0, 33842.227,22168.264,53829.770,23009.553,72455.328,20333.135,85942.391,12741.802,98222.250,6437.049,84689.805
 1, 55, 0,0,1,539323544,33.9, 33764.164,22155.943,52450.801,22485.904,72021.742,19644.607,85924.453,13115.944,99421.234,5706.900,83109.297
 1, 56, 0,0,1,539324544,35.6, 33736.207,22169.910,53010.973,23178.725,72077.305,19696.063,86170.281,12829.376,99132.984,6642.359,84516.430
 1, 57, 0,0,1,539325544,34.8, 33767.375,21872.736,52416.289,23619.619,72513.672,19512.189,86044.563,13126.677,98251.859,6669.110,84800.336
 1, 58, 0,0,1,539326544,35.5, 33696.000,22138.201,54013.234,23595.260,71852.406,19635.348,86070.141,13101.068,98843.563,6267.434,84737.313
 1, 59, 0,0,1,539327544,32.7, 33713.148,22150.793,52280.055,22608.479,72910.102,18491.918,86204.914,12874.336,99253.539,6132.771,82258.305
 1, 60, 0,0,1,539328544,35.1, 33937.297,21855.414,52372.453,22898.252,72263.539,20183.070,86096.688,12950.513,98598.453,5520.753,83408.000
 1, 61, 0,0,1,539329544,34.0, 33583.281,21907.898,52722.434,23362.299,72204.711,19348.324,85961.195,12816.559,98500.250,6189.344,83624.422
 1, 62, 0,0,1,539330544,34.0, 33671.430,21803.840,53512.215,23687.055,72641.617,19821.594,86072.648,13377.093,98372.023,6884.815,85574.391
 1, 63, 0,0,1,539331544,31.9, 33675.594,22018.830,52413.070,22314.650,71836.430,18883.186,86147.203,12651.730,98823.797,7380.639,83249.031
 1, 64, 0,0,1,539332543,31.9, 33642.844,22022.801,53009.813,23238.703,71279.727,19787.434,86088.055,13228.246,99138.719,7033.635,85310.820
 1, 65, 0,0,1,539333543,34.5, 33780.559,21999.443,52662.875,23451.549,72069.047,19915.758,86033.883,12765.111,99105.859,7110.090,85241.953
 1, 66, 0,0,1,539334543,32.7, 33677.840,22139.088,53885.957,23428.549,72761.242,19287.545,86161.555,13112.894,98230.422,5990.354,83958.422
 1, 67, 0,0,1,539335543,30.8, 33695.219,21952.805,52199.543,22323.379,71904.625,19054.549,86020.156,13121.460,98760.070,7673.816,84126.016
 1, 68, 0,0,1,539336543,29.5, 33684.973,22168.820,53026.570,23177.354,72118.250,20032.648,85668.656,12928.267,99115.094,6082.289,84389.375
 1, 69, 0,0,1,539337543,31.6, 33753.070,21928.209,52461.160,23596.539,72188.234,20311.625,85876.711,13777.902,99116.758,7072.853,86687.133
 1, 70, 0,0,1,539338543,33.3, 33460.703,21971.418,53885.734,23061.762,72555.719,19948.484,86160.086,13033.275,100136.688,6577.784,84592.719
 1, 71, 0,0,1,539339543,30.7, 33587.730,22252.117,52502.625,22597.789,72093.797,19614.898,86129.656,12945.702,98948.813,6036.525,83447.031
 1, 72, 0,0,1,539340543,30.0, 33543.203,21900.906,52785.055,23539.154,72355.805,19210.707,86095.266,12902.601,98997.297,5574.269,83127.633
 1, 73, 0,0,1,539341543,29.6, 33598.469,22370.879,52868.379,23142.396,72460.227,19406.865,85987.523,12981.725,100091.711,6756.670,84658.539
 1, 74, 0,0,1,539342543,30.1, 33643.910,22216.451,52517.188,23245.641,72670.477,20286.332,86222.891,13101.604,98629.055,7233.839,86083.859
 1, 75, 0,0,1,539343543,30.1, 33861.984,21967.611,53080.965,23349.670,72018.906,19713.855,86200.672,12999.288,98416.688,6436.372,84466.797
 1, 76, 0,0,1,539344543,29.9, 33585.594,22097.213,52377.480,23141.568,71960.617,19820.676,85959.797,13036.473,99277.477,7059.497,85155.430
 1, 77, 0,0,1,539345543,30.2, 33662.063,22399.477,52929.965,23311.305,72213.328,19549.057,85876.672,12769.342,98544.367,6476.686,84505.867
 1, 78, 0,0,1,539346543,29.4, 33676.242,21819.520,52851.281,23389.244,72073.641,19509.725,85966.945,13152.519,98848.852,7094.174,84965.180
 1, 79, 0,0,1,539347543,29.4, 33642.406,21891.611,53173.754,23201.207,72010.945,19713.561,86273.758,12754.525,98896.094,7012.346,84573.250
 1, 80, 0,0,1,539348543,29.0, 33786.777,21871.711,52755.590,23480.721,72134.570,19718.252,86135.570,13222.807,98877.117,6116.660,84410.141
 1, 81, 0,0,1,539349543,29.5, 33520.871,22038.309,52891.922,23116.068,72218.500,19696.693,86499.828,12822.403,100079.008,6571.328,84244.805
 1, 82, 0,0,1,539350543,29.8, 33949.012,22100.643,52742.332,23190.047,72412.016,19959.928,86354.266,12983.990,99022.805,6161.104,84395.711
 1, 83, 0,0,1,539351543,29.1, 33773.859,21784.521,53093.023,23376.428,71667.656,19364.549,86165.086,12847.492,99030.961,5946.604,83319.594
 1, 84, 0,0,1,539352543,31.6, 33587.895,22324.613,52763.313,23197.813,71404.484,20283.318,85982.617,12961.663,99318.578,6662.388,85429.797
 1, 85, 0,0,1,539353543,33.5, 33805.594,21623.258,53498.602,24256.570,72430.156,19220.098,85875.617,12795.174,99205.422,6918.333,84813.438
 1, 86, 0,0,1,539354543,33.7, 33392.898,22055.652,52231.555,22634.355,70997.148,19903.668,86447.352,13036.106,99303.297,6834.126,84463.906
 1, 87, 0,0,1,539355543,31.1, 33752.348,21764.676,52719.770,22766.678,72497.500,19697.051,86287.125,13032.117,99413.227,7213.861,84474.375
 1, 88, 0,0,1,539356543,30.6, 34100.098,22214.449,52801.824,23193.193,71876.969,19844.863,86206.297,12887.473,99199.953,6760.800,84900.773
 1, 89, 0,0,1,539357543,30.4, 33555.574,21980.055,52834.695,23243.008,72136.633,19262.320,86185.820,12995.542,99098.969,6970.888,84451.813
 1, 90, 0,0,1,539358543,30.8, 33756.445,21721.109,52847.254,23288.605,72379.273,19735.262,86153.750,13459.150,98198.305,5942.697,84146.820
 1, 91, 0,0,1,539359543,30.2, 33816.879,22346.240,52524.816,22987.973,72199.680,19451.701,85988.266,12878.939,99088.844,6170.200,83835.055
 1, 92, 0,0,1,539360543,30.5, 33414.309,22028.137,52702.734,23299.672,71965.922,19425.244,85956.961,13281.582,99248.695,7270.988,85305.625
 1, 93, 0,0,1,539361543,30.1, 33749.910,22124.980,52931.480,23070.211,72087.070,20212.840,86084.750,13271.948,98483.773,6344.142,85024.117
 1, 94, 0,0,1,539362543,30.2, 33705.313,22018.689,52703.637,23037.779,71804.094,19549.900,86101.500,12971.782,99186.188,6250.442,83828.594
 1, 95, 0,0,1,539363543,27.6, 33919.297,22236.135,52821.457,23515.467,72131.898,19952.236,86283.789,12893.761,98220.328,5333.138,83930.734
 1, 96, 0,0,1,539364543,27.8, 33612.316,22018.754,52606.445,23297.852,72403.008,19780.902,86237.219,13208.027,99252.102,7574.454,85879.984
 1, 97, 0,0,1,539365543,28.5, 33472.320,22412.020,52815.059,23359.707,72036.141,19528.924,86452.227,13101.539,99551.500,6610.920,85013.109
 1, 98, 0,0,1,539366543,28.2, 34070.195,22287.674,52885.727,23317.881,71961.250,20121.496,86222.898,13150.260,99408.930,5139.396,84016.703
 1, 99, 0,0,1,539367543,27.5, 33591.594,21548.197,52891.320,23538.756,71999.055,19593.078,86286.289,13064.642,97687.969,5849.393,83594.063
